season,series_id,race_num,race_date,race_short_id,race_track_name,race_track_id,race_car_count,race_winner_name,race_winner_real_id,race_winner_starting_pos,race_winner_make,race_lap_len,race_track_surface,race_miles_completed,race_purse_completed,race_pole_time,race_cautions,race_speed,race_lead_changes,race_url,race_track_url,race_winner_url
2015,E,1,02/15/15,2015_01,New Smyrna,New_Smyrna_Speedway,26,Austin Hill,hillau01,1,Ford ,0.480,P,72,,93.491,7,65.725,0,https://www.racing-reference.info/race-results/2015_Hart_to_Heart_Breast_Cancer_Foundation_150/E, https://www.racing-reference.info/tracks/New_Smyrna_Speedway,https://www.racing-reference.info/driver/hillau01/
2015,E,2,04/04/15,2015_02,Greenville,Greenville-Pickens_Speedway,25,William Byron,byronwi01,2,Chevrolet ,0.500,P,76,,86.555,8,58.953,0,https://www.racing-reference.info/race-results/2015_Kevin_Whitaker_Chevrolet_150/E, https://www.racing-reference.info/tracks/Greenville-Pickens_Speedway,https://www.racing-reference.info/driver/byronwi01/
2015,E,3,04/18/15,2015_03,Bristol,Bristol_Motor_Speedway,28,Kyle Benjamin,benjaky01,8,Ford ,0.533,P,67,,120.748,6,69.968,1,https://www.racing-reference.info/race-results/2015_PittLite_125/E, https://www.racing-reference.info/tracks/Bristol_Motor_Speedway,https://www.racing-reference.info/driver/benjaky01/
2015,E,4,05/16/15,2015_04,Iowa,Iowa_Speedway,39,Brandon McReynolds,mcreybr01,2,Toyota ,0.875,P,131,,132.592,6,84.270,3,https://www.racing-reference.info/race-results/2015_Caseys_General_Store_150/E, https://www.racing-reference.info/tracks/Iowa_Speedway,https://www.racing-reference.info/driver/mcreybr01/
2015,E,5,05/30/15,2015_05,Winston-Salem,Bowman_Gray_Stadium,21,Scott Heckert,heckesc01,1,Chevrolet ,0.250,P,38,,62.305,3,51.001,0,https://www.racing-reference.info/race-results/2015_NASCAR_Hall_of_Fame_150/E, https://www.racing-reference.info/tracks/Bowman_Gray_Stadium,https://www.racing-reference.info/driver/heckesc01/
2015,E,6,06/20/15,2015_06,Hampton,Langley_Speedway,24,William Byron,byronwi01,2,Chevrolet ,0.396,P,69,,89.323,3,70.815,2,https://www.racing-reference.info/race-results/2015_Visit_Hampton_VA_175/E, https://www.racing-reference.info/tracks/Langley_Speedway,https://www.racing-reference.info/driver/byronwi01/
2015,E,7,07/04/15,2015_07,Columbus,Columbus_Motor_Speedway,22,Rico Abreu,abreuri01,1,Chevrolet ,0.333,P,50,,84.697,7,59.171,9,https://www.racing-reference.info/race-results/2015_NAPA_150/E, https://www.racing-reference.info/tracks/Columbus_Motor_Speedway,https://www.racing-reference.info/driver/abreuri01/
2015,E,8,07/17/15,2015_08,Loudon,New_Hampshire_Motor_Speedway,28,William Byron,byronwi01,1,Chevrolet ,1.058,P,74,,128.229,2,102.861,4,https://www.racing-reference.info/race-results/2015_United_Site_Services_70/E, https://www.racing-reference.info/tracks/New_Hampshire_Motor_Speedway,https://www.racing-reference.info/driver/byronwi01/
2015,E,9,07/31/15,2015_09,Iowa,Iowa_Speedway,38,Brandon McReynolds,mcreybr01,1,Toyota ,0.875,P,131,,131.475,5,90.051,2,https://www.racing-reference.info/race-results/2015_ThanksKenny150/E, https://www.racing-reference.info/tracks/Iowa_Speedway,https://www.racing-reference.info/driver/mcreybr01/
2015,E,10,08/07/15,2015_10,Watkins Glen,Watkins_Glen_International,25,Scott Heckert,heckesc01,3,Chevrolet ,2.450,R,125,,120.536,6,69.214,2,https://www.racing-reference.info/race-results/2015_Bully_Hill_Vineyards_125/E, https://www.racing-reference.info/tracks/Watkins_Glen_International,https://www.racing-reference.info/driver/heckesc01/
2015,E,11,08/15/15,2015_11,Smithton,Motordrome_Speedway,21,Dillon Bassett,bassedi01,7,Ford ,0.400,P,60,,99.734,5,68.389,5,https://www.racing-reference.info/race-results/2015_UPMC_Health_Plan_150/E, https://www.racing-reference.info/tracks/Motordrome_Speedway,https://www.racing-reference.info/driver/bassedi01/
2015,E,12,08/29/15,2015_12,VIR,Virginia_International_Raceway,18,Sergio Pena,penase01,13,Toyota ,2.250,R,137,,92.758,6,62.584,8,https://www.racing-reference.info/race-results/2015_Biscuitville_125/E, https://www.racing-reference.info/tracks/Virginia_International_Raceway,https://www.racing-reference.info/driver/penase01/
2015,E,13,09/10/15,2015_13,Richmond,Richmond_International_Raceway,35,Austin Hill,hillau01,3,Ford ,0.750,P,53,,NTT,2,80.489,3,https://www.racing-reference.info/race-results/2015_UNOH_100/E, https://www.racing-reference.info/tracks/Richmond_International_Raceway,https://www.racing-reference.info/driver/hillau01/
2015,E,14,10/03/15,2015_14,Dover,Dover_International_Speedway,31,Collin Cabre,cabreco02,12,Toyota ,1.000,P,125,,NTT,6,103.902,2,https://www.racing-reference.info/race-results/2015_Drive_Sober_125/E, https://www.racing-reference.info/tracks/Dover_International_Speedway,https://www.racing-reference.info/driver/cabreco02/
